x,n,Funkcja wbudowana,Taylor,Blad bezwzgledny,Blad wzgledny
-0.980000, 100, 3.03298164357989241680, 2.99406651210374574745, 0.03891513147614666934, 0.01283065183019515935
-0.960000, 100, 2.46241693541059181172, 2.45959251839514614346, 0.00282441701544566826, 0.00114701006755978758
-0.940000, 100, 2.12266263478279837429, 2.12242230180460200728, 0.00024033297819636701, 0.00011322240956154537
-0.920000, 100, 1.87852478362785291210, 1.87850341235378981430, 0.00002137127406309780, 0.00001137662608944934
-0.900000, 100, 1.68736912929452365084, 1.68736722260694138598, 0.00000190668758226487, 0.00000112997657072347
-0.880000, 100, 1.53009846601046728409, 1.53009829876566283424, 0.00000016724480444985, 0.00000010930329528786
-0.860000, 100, 1.39647295932845749711, 1.39647294508180652706, 0.00000001424665097005, 0.00000001020188101380
-0.840000, 100, 1.28035104425019619079, 1.28035104308166736153, 0.00000000116852882925, 0.00000000091266284704
-0.820000, 100, 1.17775382619191559819, 1.17775382610024248464, 0.00000000009167311354, 0.00000000007783724536
-0.800000, 100, 1.08595365348609163014, 1.08595365347925043586, 0.00000000000684119428, 0.00000000000629971109
-0.780000, 100, 1.00299802231593382373, 1.00299802231545176490, 0.00000000000048205884, 0.00000000000048061793
-0.760000, 100, 0.92744074740300164184, 0.92744074740296855719, 0.00000000000003308465, 0.00000000000003567306
-0.740000, 100, 0.85818065246868324714, 0.85818065246868102669, 0.00000000000000222045, 0.00000000000000258739
-0.720000, 100, 0.79435992735537774845, 0.79435992735537797049, 0.00000000000000022204, 0.00000000000000027953
-0.700000, 100, 0.73529745202033647278, 0.73529745202033625073, 0.00000000000000022204, 0.00000000000000030198
-0.680000, 100, 0.68044355735065253921, 0.68044355735065198409, 0.00000000000000055511, 0.00000000000000081581
-0.660000, 100, 0.62934843612856561368, 0.62934843612856505857, 0.00000000000000055511, 0.00000000000000088204
-0.640000, 100, 0.58163953192440387419, 0.58163953192440409623, 0.00000000000000022204, 0.00000000000000038176
-0.620000, 100, 0.53700500041631271664, 0.53700500041631249459, 0.00000000000000022204, 0.00000000000000041349
-0.600000, 100, 0.49518137942199802470, 0.49518137942199841328, 0.00000000000000038858, 0.00000000000000078472
-0.580000, 100, 0.45594423928242305832, 0.45594423928242316935, 0.00000000000000011102, 0.00000000000000024350
-0.560000, 100, 0.41910098435243514636, 0.41910098435243509085, 0.00000000000000005551, 0.00000000000000013245
-0.540000, 100, 0.38448523372180681834, 0.38448523372180687385, 0.00000000000000005551, 0.00000000000000014438
-0.520000, 100, 0.35195237917884691914, 0.35195237917884691914, 0.00000000000000000000, 0.00000000000000000000
-0.500000, 100, 0.32137603295226802036, 0.32137603295226785383, 0.00000000000000016653, 0.00000000000000051819
-0.480000, 100, 0.29264515644844552034, 0.29264515644844535380, 0.00000000000000016653, 0.00000000000000056906
-0.460000, 100, 0.26566171619955175620, 0.26566171619955170069, 0.00000000000000005551, 0.00000000000000020895
-0.440000, 100, 0.24033875229374998539, 0.24033875229375006866, 0.00000000000000008327, 0.00000000000000034646
-0.420000, 100, 0.21659877269839400427, 0.21659877269839403202, 0.00000000000000002776, 0.00000000000000012814
-0.400000, 100, 0.19437240743536049470, 0.19437240743536052245, 0.00000000000000002776, 0.00000000000000014280
-0.380000, 100, 0.17359727175967534785, 0.17359727175967545887, 0.00000000000000011102, 0.00000000000000063954
-0.360000, 100, 0.15421699885489312254, 0.15421699885489312254, 0.00000000000000000000, 0.00000000000000000000
-0.340000, 100, 0.13618041114825543692, 0.13618041114825538140, 0.00000000000000005551, 0.00000000000000040763
-0.320000, 100, 0.11944080590701969258, 0.11944080590701972033, 0.00000000000000002776, 0.00000000000000023238
-0.300000, 100, 0.10395533583095543928, 0.10395533583095538377, 0.00000000000000005551, 0.00000000000000053399
-0.280000, 100, 0.08968446928274503849, 0.08968446928274501073, 0.00000000000000002776, 0.00000000000000030948
-0.260000, 100, 0.07659151787194673489, 0.07659151787194672101, 0.00000000000000001388, 0.00000000000000018119
-0.240000, 100, 0.06464222152991529191, 0.06464222152991529191, 0.00000000000000000000, 0.00000000000000000000
-0.220000, 100, 0.05380438313086344931, 0.05380438313086349095, 0.00000000000000004163, 0.00000000000000077379
