x,n,Funkcja wbudowana,Taylor,Blad bezwzgledny,Blad wzgledny
0.50, 1, 0.18799292790760377403, 0.25000000000000000000, 0.06200707209239622597, 0.32983725921260159675
0.50, 2, 0.18799292790760377403, 0.18750000000000000000, 0.00049292790760377403, 0.00262205559054882152
0.50, 3, 0.18799292790760377403, 0.19097222222222220989, 0.00297929431461843586, 0.01584790634295946826
0.50, 4, 0.18799292790760377403, 0.18381076388888886730, 0.00418216401871490673, 0.02224639014490156427
0.50, 5, 0.18799292790760377403, 0.18922092013888888729, 0.00122799223128511326, 0.00653211929274624854
0.50, 6, 0.18799292790760377403, 0.18801106770833334036, 0.00001813980072956634, 0.00009649193153947698
0.50, 7, 0.18799292790760377403, 0.18807667012117346150, 0.00008374221356968747, 0.00044545406309563811
0.50, 8, 0.18799292790760377403, 0.18785036774719654495, 0.00014256016040722908, 0.00075832725195543345
0.50, 9, 0.18799292790760377403, 0.18803895272245091386, 0.00004602481484713983, 0.00024482205452835151
0.50, 10, 0.18799292790760377403, 0.18799367105489295238, 0.00000074314728917835, 0.00000395305981692883
