Total Agents, Jacobi, Gauss-Seidel, Sparse Partial Gauss,Partial Gauss
5,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16,1.11022302462516E-16
6,4.5102810375397E-17,4.5102810375397E-17,1.38777878078145E-16,1.38777878078145E-16
7,5.55111512312578E-17,5.55111512312578E-17,2.22044604925031E-16,2.22044604925031E-16
8,5.55111512312578E-16,5.55111512312578E-16,1.66533453693773E-16,1.66533453693773E-16
9,1.45716771982052E-16,1.45716771982052E-16,4.44089209850063E-16,4.44089209850063E-16
10,2.22044604925031E-16,2.22044604925031E-16,6.10622663543836E-16,6.10622663543836E-16
