Total Agents, Precision, Jacobi, Gauss-Seidel
5,-6,0.5013,0.5014
5,-10,1.0027,0.5013
5,-14,1.0103,0.9941
6,-6,1.5082,0.998
6,-10,2.0049,1.5057
6,-14,2.5075,2.0049
7,-6,2.5054,2.0049
7,-10,4.0103,2.5079
7,-14,5.5155,3.5085
8,-6,4.0111,3.011
8,-10,6.517,4.512
8,-14,10.0271,6.5178
9,-6,7.5212,5.0125
9,-10,11.5366,8.0183
9,-14,16.044,10.5276
10,-6,10.5259,8.0226
10,-10,19.5529,13.0333
10,-14,26.5702,19.0502
